corruption_type,severity,accuracy,precision_micro,recall_micro,f1_micro,mAP_0.5
blur_obscuration,none,0.6605316973415133,0.7916666666666666,0.7995049504950495,0.7955665024630542,0.6174394415560994
blur_obscuration,mild,0.6601239669421488,0.799749687108886,0.7908415841584159,0.7952706907280648,0.6165833793669598
blur_obscuration,moderate,0.5588571428571428,0.8794964028776978,0.6051980198019802,0.7170087976539589,0.6058391825799504
blur_obscuration,severe,0.0024752475247524753,1.0,0.0024752475247524753,0.0049382716049382715,0.42841062389320334
stain_color_shift,none,0.6605316973415133,0.7916666666666666,0.7995049504950495,0.7955665024630542,0.6174394415560994
stain_color_shift,mild,0.6537313432835821,0.7693208430913349,0.8131188118811881,0.7906137184115524,0.6150152432698889
stain_color_shift,moderate,0.6175580221997982,0.769811320754717,0.7574257425742574,0.7635683094198379,0.6028272422431524
stain_color_shift,severe,0.5176470588235295,0.7921440261865794,0.599009900990099,0.6821705426356589,0.5440292742363081
