bin_lower,bin_upper,count,avg_confidence,accuracy
0.0,0.1,245,0.07783253322146377,0.0163265306122449
0.1,0.2,398,0.14177180197670233,0.07537688442211055
0.2,0.30000000000000004,128,0.2444836039794609,0.1796875
0.30000000000000004,0.4,105,0.3524812184628986,0.3904761904761905
0.4,0.5,82,0.4465817732781899,0.5
0.5,0.6000000000000001,85,0.5484434829038732,0.6
0.6000000000000001,0.7000000000000001,89,0.6506708625997051,0.7303370786516854
0.7000000000000001,0.8,89,0.756163306450576,0.797752808988764
0.8,0.9,163,0.8547420658948232,0.9141104294478528
0.9,1.0,252,0.9513233531089056,0.9801587301587301
