model,edge__mean_latency_ms,edge__median_latency_ms,edge__p95_latency_ms,edge__peak_ram_mb,edge__std_latency_ms
efficientnet,31.448540000322584,31.89534999546595,37.65174499712884,440.35546875,4.305075175454642
ssdlite,52.55115333226664,52.60364999412559,60.71983499423368,408.8828125,4.784037619089065
