cell_type,n_pairs,pearson_r,r_squared,spearman_rho,bland_altman_bias,bias_bootstrap_ci_lower,bias_bootstrap_ci_upper,loa_lower,loa_lower_ci_lower,loa_lower_ci_upper,loa_upper,loa_upper_ci_lower,loa_upper_ci_upper,pb_slope,pb_slope_ci_lower,pb_slope_ci_upper,pb_intercept,pb_intercept_ci_lower,pb_intercept_ci_upper,pb_proportional_bias_flag,pb_constant_offset_flag,icc_2_1,icc_ci_lower,icc_ci_upper,icc_method
RBC,72,0.15123341342596894,0.022871545336470043,0.10381974065116271,-11.11111111111111,-12.25,-10.01388888888889,-20.93898383699228,-22.547195315524153,-19.241085181793043,-1.283238385229943,-3.115970133306821,0.43974280700877816,0.5,0.25,0.75,1.0,-5.75,7.0,True,False,0.026310109310679574,-0.0958815676746962,0.35642860811913096,"manual Shrout-Fleiss ICC(2,1)"
WBC,72,0.30701649274662624,0.0942591268184392,0.3363692674535247,-0.375,-0.5555555555555556,-0.20833333333333334,-1.8981019127490184,-2.541626617656867,-1.1947162350997038,1.1481019127490184,0.7225693526576535,1.5057644558922052,-0.0,-0.0,-0.0,1.0,1.0,1.0,True,True,0.1383100526677352,-0.06924599198244884,0.37961418641708644,"manual Shrout-Fleiss ICC(2,1)"
Platelets,72,,,,-3.125,-4.139236111111111,-2.25,-11.128497650895346,-13.907788156807696,-7.965805366094806,4.878497650895346,3.25487233817178,5.984871825158732,0.0,-0.0,0.0,0.0,0.0,0.0,True,False,0.0,-0.2302778869403101,0.23027788694031007,"manual Shrout-Fleiss ICC(2,1)"
