dataset,n_images,score_threshold,iou_threshold,accuracy,accuracy_wilson_ci_lower,accuracy_wilson_ci_upper,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,mAP_0.5,mAP_0.5:0.95,AP_0.5:0.95_RBC,AP_0.5:0.95_WBC,AP_0.5:0.95_Platelets
bccd_test,56,0.35,0.5,0.6605316973415133,0.6302777217525884,0.6895295110537656,0.7916666666666666,0.7995049504950495,0.7955665024630542,0.5865982479254791,0.612923212724603,0.5991244224742335,0.6174394415560994,0.4011429365746201,0.5386984195149995,0.6647136299186571,1.6760290203736383e-05
72set_ood,72,0.35,0.5,0.3365300784655623,0.3174812738563948,0.35612545078468755,0.7666335650446872,0.37493929091792133,0.5035877364644489,0.5785608759885287,0.3753730248962577,0.45288893651984424,0.3888070566656474,0.1428479568282942,0.1096923902171274,0.3188477446007809,3.735666974395558e-06
