epoch,train_loss_total,train_bbox_regression,train_classification,val_loss_total,val_bbox_regression,val_classification
1,5.90713257715106,1.824135105125606,4.082997474819422,3.756105031285967,1.177855806691306,2.5782492671694075
2,3.3579646199941635,1.0928605161607265,2.265104094520211,2.8887062753949846,0.8830205925873348,2.0056856955800737
3,2.878464013338089,0.9045786801725626,1.9738853238523006,2.5994691848754883,0.7639962221894946,1.8354729499135698
4,2.7291161343455315,0.8406190108507872,1.8884971160441637,2.4701699869973317,0.7019719055720738,1.7681980899402074
5,2.5925850942730904,0.7682858547195792,1.8242992516607046,2.3829151391983032,0.6594626520361219,1.7234524914196558
6,2.5732011664658785,0.7634698301553726,1.8097313232719898,2.327505213873727,0.6377256895814624,1.6897795285497392
7,2.471218068152666,0.7171908644959331,1.7540272176265717,2.3228610498564586,0.6325027367898396,1.6903583407402039
8,2.3915541414171457,0.6745927762240171,1.7169613651931286,2.244449027947017,0.5987521133252552,1.6456969210079737
9,2.38419652543962,0.672872431576252,1.7113240882754326,2.2651766879217967,0.6076168886252812,1.6575597865240914
10,2.335028888657689,0.6556801651604474,1.6793487314134836,2.230568093912942,0.588708547609193,1.6418595484324865
